,0
-11.7,0
-11.6,0
-11.5,0
-11.4,0
-11.3,0
-11.2,0
-11.1,0
-11.0,0
-10.9,0
-10.8,0
-10.7,0
-10.6,0
-10.5,0
-10.4,0
-10.3,0
-10.2,0
-10.1,0
-10.0,0
-9.9,0
-9.8,0
-9.7,0
-9.6,0
-9.5,0
-9.4,0
-9.3,0
-9.2,0
-9.1,0
-9.0,0
-8.9,0
-8.8,1
-8.7,0
-8.6,0
-8.5,0
-8.4,0
-8.3,0
-8.2,0
-8.1,0
-8.0,0
-7.9,1
-7.8,1
-7.7,0
-7.6,1
-7.5,0
-7.4,1
-7.3,0
-7.2,1
-7.1,1
-7.0,0
-6.9,1
-6.8,0
-6.7,1
-6.6,0
-6.5,2
-6.4,2
-6.3,1
-6.2,2
-6.1,0
-6.0,1
-5.9,2
-5.8,0
-5.7,1
-5.6,5
-5.5,1
-5.4,5
-5.3,6
-5.2,3
-5.1,4
-5.0,7
-4.9,7
-4.8,5
-4.7,4
-4.6,6
-4.5,7
-4.4,6
-4.3,11
-4.2,13
-4.1,10
-4.0,15
-3.9,18
-3.8,8
-3.7,11
-3.6,25
-3.5,18
-3.4,10
-3.3,24
-3.2,23
-3.1,33
-3.0,34
-2.9,35
-2.8,43
-2.7,48
-2.6,41
-2.5,60
-2.4,41
-2.3,57
-2.2,74
-2.1,76
-2.0,54
-1.9,75
-1.8,99
-1.7,91
-1.6,71
-1.5,134
-1.4,164
-1.3,57
-1.2,122
-1.1,184
-1.0,128
-0.9,109
-0.8,234
-0.7,282
-0.6,100
-0.5,174
-0.4,305
-0.3,108
-0.2,138
-0.1,237
0.0,656
0.1,127
0.2,201
0.3,277
0.4,112
0.5,161
0.6,208
0.7,214
0.8,143
0.9,207
1.0,220
1.1,146
1.2,192
1.3,211
1.4,148
1.5,173
1.6,194
1.7,192
1.8,156
1.9,189
2.0,189
2.1,109
2.2,180
2.3,194
2.4,138
2.5,156
2.6,187
2.7,176
2.8,147
2.9,168
3.0,213
3.1,144
3.2,148
3.3,187
