,0
0.0,1256
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,1
1.4,1
1.5,0
1.6,2
1.7,0
1.8,1
1.9,4
2.0,2
2.1,6
2.2,6
2.3,6
2.4,11
2.5,9
2.6,7
2.7,13
2.8,13
2.9,11
3.0,10
3.1,11
3.2,9
3.3,14
3.4,15
3.5,12
3.6,18
3.7,14
3.8,16
3.9,13
4.0,25
4.1,19
4.2,13
4.3,20
4.4,15
4.5,20
4.6,27
4.7,24
4.8,23
4.9,17
5.0,18
5.1,31
5.2,36
5.3,29
5.4,31
5.5,27
5.6,30
5.7,35
5.8,31
5.9,38
6.0,37
6.1,39
6.2,62
6.3,54
6.4,34
6.5,33
6.6,39
6.7,63
6.8,51
6.9,47
7.0,49
7.1,41
7.2,47
7.3,51
7.4,52
7.5,65
7.6,58
7.7,64
7.8,54
7.9,60
8.0,59
8.1,73
8.2,65
8.3,67
8.4,68
8.5,59
8.6,59
8.7,69
8.8,75
8.9,70
9.0,55
9.1,85
9.2,71
9.3,72
9.4,71
9.5,71
9.6,68
9.7,81
9.8,73
9.9,75
10.0,75
10.1,97
10.2,108
10.3,70
10.4,96
10.5,78
10.6,90
10.7,111
10.8,80
10.9,87
11.0,94
11.1,107
11.2,111
11.3,107
11.4,103
11.5,92
11.6,103
11.7,115
11.8,99
11.9,128
12.0,98
12.1,112
12.2,126
12.3,116
12.4,105
12.5,98
12.6,118
12.7,118
12.8,124
12.9,109
13.0,116
13.1,126
13.2,111
13.3,121
13.4,117
13.5,142
13.6,100
13.7,115
13.8,114
13.9,121
14.0,127
14.1,124
14.2,117
14.3,133
14.4,142
14.5,131
14.6,128
14.7,142
14.8,125
14.9,144
15.0,140
15.1,135
15.2,125
15.3,151
15.4,107
15.5,135
15.6,127
15.7,112
15.8,130
15.9,167
16.0,115
16.1,113
16.2,139
16.3,148
16.4,140
16.5,119
16.6,125
16.7,146
16.8,128
16.9,132
17.0,145
17.1,136
17.2,116
17.3,118
17.4,131
17.5,131
17.6,137
17.7,148
17.8,136
17.9,131
18.0,118
18.1,115
18.2,141
18.3,140
18.4,132
18.5,125
18.6,123
18.7,131
18.8,119
18.9,118
19.0,128
19.1,106
19.2,132
19.3,125
19.4,130
19.5,106
19.6,110
19.7,105
19.8,113
19.9,125
20.0,112
20.1,115
20.2,107
