,Rank,Date,Team,Acquired,Relinquished,Notes
0,0,1983-10-28,KCK,,Mike Woodson,placed on IL with arthroscopic surgery to repair torn cartilage in right knee
1,1,1983-11-01,GSW,,Ron Brewer,placed on IL with shoulder injury
2,2,1983-11-01,NJN,,Foots Walker,placed on IL with foot injury
3,3,1983-11-08,MIL,,Charlie Criss,placed on IL with strained foot
4,4,1983-11-11,SAS,Roger Phegley,,activated from IL
5,5,1983-11-15,ATL,,Armond Hill,placed on IL with fractured nose
6,6,1983-11-15,ATL,Billy Paultz,,activated from IL
7,7,1983-11-16,PHO,,James Edwards,placed on IL with hand injury
8,8,1983-11-16,PHO,Charles Pittman,,activated from IL
9,9,1983-11-18,LAL,Mitch Kupchak,,activated from IL
10,10,1983-11-22,KCK,Mike Woodson,,activated from IL
11,11,1983-11-25,PHO,,Paul Westphal,placed in IL with strained left leg
12,12,1983-11-25,PHO,James Edwards,,activated from IL
13,13,1983-12-01,GSW,,Ron Brewer,placed on IL with hand injury
14,14,1983-12-04,PHO,,Rick Robey,placed on IL for knee surgery
15,15,1983-12-04,PHO,Paul Westphal,,activated from IL
16,16,1983-12-20,NYK,Eric Fernsten,,activated from IL
17,17,1983-12-20,NJN,Foots Walker,,activated from IL
18,18,1983-12-30,LAL,Magic Johnson,,activated from IL
19,19,1984-01-01,POR,,Darnell Valentine,placed on IL with broken bone in left hand
20,20,1984-01-03,SAS,,Johnny Moore,placed on IL with broken right index finger (out ~4 weeks)
21,21,1984-01-07,LAL,,Larry Spriggs,placed on IL with hip pointer
22,22,1984-01-07,LAL,Kurt Rambis,,activated from IL
23,23,1984-01-10,PHO,,Paul Westphal,placed on IL with sore right leg
24,24,1984-01-10,GSW,,Sleepy Floyd,placed on IL with sprained ankle
25,25,1984-01-10,GSW,Ron Brewer,,activated from IL
26,26,1984-01-13,SEA,,Clay Johnson,placed on IL
27,27,1984-01-19,GSW,,Russell Cross,placed on IL with strained knee
28,28,1984-01-19,GSW,Sleepy Floyd,,activated from IL
29,29,1984-01-24,SEA,,Fred Brown,placed on IL
30,30,1984-01-24,SEA,Clay Johnson,,activated from IL
31,31,1984-02-01,PHO,Paul Westphal,,activated from IL
