,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,25,0,n
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947",UCLA,1,0,n
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU,3,0,n
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",11,0,n
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California,3,0,n
9,Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",,32,0,n
10,Precious Achiuwa,2021,2025,F,6-8,225,"September 19, 1999",Memphis,20,0,n
11,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,60,0,n
13,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,40,0,n
15,Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,37,0,n
16,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,4,0,n
19,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona,54,0,n
20,Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,0,0,n
21,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA,22,0,n
22,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,66,0,n
23,Steven Adams,2014,2025,C,6-11,265,"July 20, 1993",Pitt,12,0,n
24,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,39,0,n
25,Bam Adebayo,2018,2025,C-F,6-9,255,"July 18, 1997",Kentucky,14,0,n
26,Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville,0,0,n
28,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn,0,0,n
29,Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,27,0,n
30,Ochai Agbaji,2023,2025,G,6-5,215,"April 20, 2000",Kansas,14,0,n
31,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,28,0,n
32,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,1,0,n
33,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,0,0,n
34,Danny Ainge,1982,1995,G,6-5,185,"March 17, 1959",BYU,31,0,n
36,Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",,20,0,n
38,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",0,0,n
39,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,0,0,n
40,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State,50,0,n
41,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke,18,0,n
43,Santi Aldama,2022,2025,F,6-11,224,"January 10, 2001",Loyola (MD),30,0,n
44,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,53,0,n
45,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas,11,0,n
46,LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",Texas,2,0,n
47,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",76,0,n
48,Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas,0,0,n
49,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia,29,0,n
50,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",13,0,n
51,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida,0,0,n
52,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia,8,0,n
53,Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee,0,0,n
54,Trey Alexander,2025,2025,G,6-4,185,"May 2, 2003",Creighton,0,0,n
55,Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",Creighton,0,0,n
56,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State,17,0,n
57,Nickeil Alexander-Walker,2020,2025,G,6-5,205,"September 2, 1998",Virginia Tech,17,0,n
58,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana,26,0,n
59,Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona,0,0,n
62,Grayson Allen,2019,2025,G,6-4,198,"October 8, 1995",Duke,21,0,n
63,Jarrett Allen,2018,2025,C-F,6-11,243,"April 21, 1998",Texas,22,0,n
64,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn,49,0,n
65,Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona,53,0,n
66,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple,50,0,n
68,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova,0,0,n
69,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State,0,0,n
70,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",UConn,5,0,n
71,Timmy Allen,2024,2024,F,6-6,210,"January 9, 2000","Utah, Texas",0,0,n
72,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",25,0,n
75,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",0,0,n
77,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,25,0,n
78,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne,33,0,n
79,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State,39,0,n
80,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty,0,0,n
81,Jose Alvarado,2022,2025,G,6-0,179,"April 12, 1998",Georgia Tech,0,0,n
82,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",0,0,n
83,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois,0,0,n
84,Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest,8,0,n
85,Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV,0,0,n
87,Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College,0,0,n
